,Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
3127,31087500,One Loaf,Itasca,Squaw Lake,"[-94.15684, 47.589809]",0.0,0.0,0.0,0.0,[]
3128,31058700,Orange,Itasca,Marcell,"[-93.623539, 47.446997]",104.12,48.0,30.0,0.0,['was01347']
3129,31021900,O'Reilly,Itasca,Taconite,"[-93.429434, 47.362254]",189.31,56.0,79.0,0.0,['was01344']
3130,31030100,Otter,Itasca,Togo,"[-93.358036, 47.658026]",117.29,117.29,17.0,0.0,[]
3131,31060800,Otter,Itasca,Suomi,"[-93.644442, 47.414051]",0.0,0.0,0.0,0.0,[]
3132,31029200,Owen,Itasca,Bigfork,"[-93.384137, 47.679259]",267.74,187.0,34.0,0.0,['was02596']
3133,31010600,Ox Hide,Itasca,Pengilly,"[-93.211304, 47.341231]",122.66,38.0,40.0,0.0,['was01338']
3134,31001600,Pancake,Itasca,Goodland,"[-93.139897, 47.126579]",137.84,28.0,34.0,0.0,['was00987']
3135,31079100,Peterson,Itasca,Talmoon,"[-93.840829, 47.642389]",162.69,94.0,55.0,0.0,['was02604']
3136,31033900,Pickerel,Itasca,Effie,"[-93.358445, 47.82527]",240.65,52.0,70.0,0.0,['was02594']
3137,31089400,Pigeon Dam,Itasca,Max,"[-94.149266, 47.523128]",0.0,0.0,0.0,0.0,['was02602']
3138,31075600,Pike,Itasca,Suomi,"[-93.723424, 47.504123]",32.43,7.0,75.0,0.0,[]
3139,31047800,Pine,Itasca,Marcell,"[-93.559268, 47.591662]",73.54,25.0,44.0,0.0,[]
3140,31043900,Plantation,Itasca,Alder,"[-93.487263, 47.486737]",87.14,41.0,35.0,0.0,[]
3141,31053200,Pokegama,Itasca,Grand Rapids,"[-93.553597, 47.187583]",6721.33,1978.0,112.0,0.0,"['was00418', 'was02120', 'was00419', 'was02121', 'was00421', 'was00422', 'was00432']"
3142,31053201,Pokegama (Main Bay),Itasca,,"[-93.598178, 47.189327]",0.0,0.0,0.0,0.0,"['was00418', 'was02120', 'was00419', 'was02121', 'was00421', 'was00422', 'was00432']"
3144,31019600,Poplar,Itasca,Togo,"[-93.344735, 47.851349]",112.33,24.0,50.0,0.0,[]
3145,31082400,Portage,Itasca,Inger,"[-93.971164, 47.582564]",714.56,36.0,60.0,0.0,[]
3146,31072000,Poverty,Itasca,Suomi,"[-93.70613, 47.421031]",64.92,31.0,40.0,0.0,[]
3147,31038400,Prairie,Itasca,Grand Rapids,"[-93.52548, 47.309238]",1331.12,853.0,31.0,0.0,"['was00420', 'was00435']"
3148,31048900,Pughole,Itasca,Marcell,"[-93.512653, 47.561504]",0.0,0.0,0.0,0.0,[]
3149,31060200,Pughole,Itasca,Grand Rapids,"[-93.589216, 47.415396]",158.17,141.0,23.0,0.0,['was02981']
3150,31092300,Rabbits,Itasca,Bald Eagle Center,"[-94.30737, 47.485592]",0.0,0.0,0.0,0.0,[]
3151,31028400,Raddison,Itasca,Bigfork,"[-93.399412, 47.707697]",203.56,73.0,40.0,0.0,['was00410']
3152,31024600,Rahkos,Itasca,Nashwauk,"[-93.328532, 47.50608]",0.0,0.0,0.0,0.0,[]
3153,31029700,Rainbow,Itasca,Bigfork,"[-93.376098, 47.663231]",0.0,0.0,0.0,0.0,[]
3154,31066400,Ranier,Itasca,Marcell,"[-93.68396, 47.591485]",89.94,44.0,45.0,0.0,[]
3155,31092500,Raven,Itasca,Bald Eagle Center,"[-94.328383, 47.475314]",0.0,0.0,0.0,0.0,[]
3156,31020100,Rice,Itasca,Philbin,"[-93.349363, 47.168674]",134.56,134.56,4.0,0.0,[]
3157,31070700,Rice,Itasca,Marcell,"[-93.666294, 47.640462]",0.0,0.0,0.0,0.0,[]
3158,31071700,Rice,Itasca,Grand Rapids,"[-93.682633, 47.215827]",863.38,229.0,68.0,0.0,['was00423']
3159,31087600,Rice,Itasca,Oslund,"[-94.05131, 47.666739]",790.51,796.82,5.0,2.0,[]
3160,31004100,Rock,Itasca,Stevenson,"[-93.087739, 47.526652]",0.0,0.0,0.0,0.0,[]
3161,31064800,Roland,Itasca,Suomi,"[-93.611786, 47.460179]",0.0,0.0,0.0,0.0,[]
3162,31027700,Ross,Itasca,Marcell,"[-93.399194, 47.564861]",57.09,28.0,35.0,0.0,[]
3163,31093500,Rosy,Itasca,Rosy,"[-94.316758, 47.647735]",0.0,0.0,0.0,0.0,[]
3164,31020900,Round,Itasca,Blackberry,"[-93.358315, 47.213828]",100.61,98.0,16.0,0.0,[]
3165,31026800,Round,Itasca,Bigfork,"[-93.360782, 47.599308]",460.36,239.0,40.0,0.0,['was00620']
3166,31052800,Round,Itasca,Craigville,"[-93.513135, 47.876224]",55.1,16.0,60.0,0.0,[]
3167,31089600,Round,Itasca,Squaw Lake,"[-94.164158, 47.61865]",2860.21,1968.0,24.0,0.0,"['was00411', 'was00412']"
3168,31042200,Ruby,Itasca,Grand Rapids,"[-93.55333, 47.518407]",235.17,90.0,88.0,0.0,[]
3169,31083200,Rush Island,Itasca,Talmoon,"[-93.959582, 47.624562]",296.78,99.0,32.0,19.0,['was00414']
3170,31057300,Salter Pond,Itasca,Bass Brook (subdivision),"[-93.638718, 47.203485]",0.0,0.0,0.0,0.0,[]
3171,31008200,Sand,Itasca,Warba,"[-93.306227, 47.141048]",113.13,75.0,36.0,0.0,[]
3172,31043800,Sand,Itasca,Grand Rapids,"[-93.505184, 47.493436]",194.79,74.2,58.0,0.0,['was00407']
3173,31082600,Sand,Itasca,Squaw Lake,"[-94.008295, 47.610637]",3579.3,1897.0,70.0,0.0,['was00413']
3174,31034800,Sawyer,Itasca,Marcell,"[-93.447577, 47.570995]",136.9,136.9,15.0,8.0,[]
3175,31085100,School House,Itasca,Inger,"[-94.035738, 47.447082]",0.0,0.0,0.0,0.0,[]
3176,31015000,Scooty,Itasca,Nashwauk,"[-93.301997, 47.579616]",166.83,77.0,75.0,0.0,['was00619']
3177,31034500,Scrapper,Itasca,Alder,"[-93.441184, 47.516151]",172.47,122.0,28.0,0.0,[]
3178,31004900,Shafer,Itasca,Stevenson,"[-93.130214, 47.480164]",0.0,0.0,0.0,0.0,[]
3179,31008400,Shallow,Itasca,Warba,"[-93.300669, 47.126424]",538.95,268.0,85.0,0.0,['was00417']
3180,31091000,Shallow Pond,Itasca,Alvwood,"[-94.259709, 47.747981]",224.73,224.65,14.0,0.0,['was03010']
3181,31021800,Shamrock,Itasca,Taconite,"[-93.414695, 47.365355]",50.33,18.0,55.0,0.0,[]
3182,31063000,Shelly,Itasca,Suomi,"[-93.615423, 47.498417]",0.0,0.0,0.0,0.0,[]
