species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
SHR,"[[12, 2], [13, 3], [15, 2], [16, 9], [17, 7], [18, 5], [19, 1], [20, 2], [21, 1], [22, 2], [7, 1], [8, 2]]",22,7,117685,1999-05-24
NOP,"[[15, 1], [17, 1], [23, 2], [27, 1], [29, 1]]",29,15,117685,1999-05-24
BLC,"[[10, 10], [11, 7], [4, 2], [7, 1], [9, 2]]",11,4,117685,1999-05-24
YEP,"[[10, 267], [11, 224], [12, 8], [5, 2], [6, 7], [7, 97], [8, 156], [9, 261]]",12,5,117685,1999-05-24
WHB,"[[11, 7], [12, 9], [15, 3], [5, 4], [6, 52], [7, 25], [8, 1]]",15,5,117685,1999-05-24
RKB,"[[6, 4], [7, 16], [8, 9]]",8,6,117685,1999-05-24
FRD,"[[10, 6], [11, 2], [12, 13], [13, 53], [14, 18], [15, 2], [16, 2], [18, 1], [19, 2], [20, 1], [21, 2], [23, 2], [4, 10], [5, 64], [6, 10], [7, 5], [9, 19]]",23,4,117685,1999-05-24
BLG,"[[5, 1]]",5,5,117685,1999-05-24
CCF,"[[13, 6], [14, 2], [15, 1], [32, 1], [8, 1]]",32,8,117685,1999-05-24
BLB,"[[10, 2], [11, 4], [12, 10], [13, 15], [14, 23], [15, 1], [7, 1], [9, 1]]",15,7,117685,1999-05-24
BRB,"[[15, 2]]",15,15,117685,1999-05-24
WAE,"[[5, 1], [6, 8], [7, 15], [8, 3], [10, 14], [11, 20], [12, 73], [13, 149], [14, 159], [15, 53], [16, 10], [17, 7], [18, 5], [19, 4], [20, 2], [21, 1], [23, 3], [24, 1], [25, 3], [26, 1], [27, 1], [8, 1]]",27,5,117685,1999-05-24
QBS,"[[16, 1], [17, 1], [18, 2], [20, 3], [22, 1]]",22,16,117685,1999-05-24
YEB,"[[10, 1], [11, 3], [12, 7], [13, 10], [14, 1]]",14,10,117685,1999-05-24
WTS,"[[13, 3], [14, 4], [15, 7], [16, 12], [17, 43], [18, 26], [19, 23], [20, 6], [21, 2]]",21,13,117685,1999-05-24
GLR,"[[10, 1], [11, 1], [14, 1], [15, 2], [16, 6], [19, 1]]",19,10,117685,1999-05-24
PMK,"[[6, 2]]",6,6,117685,1999-05-24
WAE,"[[5, 3], [6, 37], [7, 35], [10, 1], [11, 38], [12, 44], [13, 16], [14, 20], [15, 38], [16, 30], [17, 22], [18, 12], [19, 10], [20, 3], [21, 4], [22, 3], [23, 1], [25, 1], [26, 1], [27, 1], [7, 4], [8, 1], [9, 1]]",27,5,117783,2002-09-12
CSH,"[[6, 1]]",6,6,117783,2002-09-12
QBS,"[[17, 1]]",17,17,117783,2002-09-12
GLR,"[[10, 1], [14, 1], [15, 1], [16, 1], [17, 1], [6, 1]]",17,6,117783,2002-09-12
WTS,"[[10, 1], [11, 3], [12, 1], [13, 1], [14, 1], [15, 5], [16, 2], [17, 10], [18, 13], [19, 9], [20, 3]]",20,10,117783,2002-09-12
SHR,"[[10, 1], [11, 1], [12, 4], [13, 1], [14, 2], [15, 1], [16, 2], [17, 4], [18, 3], [19, 1], [20, 1], [9, 1]]",20,9,117783,2002-09-12
NOP,"[[20, 2], [21, 5], [22, 3], [24, 2], [34, 1]]",34,20,117783,2002-09-12
LMB,"[[5, 3], [6, 1]]",6,5,117783,2002-09-12
CAP,"[[29, 1]]",29,29,117783,2002-09-12
FRD,"[[12, 14], [13, 42], [14, 38], [15, 11], [20, 1], [4, 1], [5, 22], [6, 11], [9, 4]]",20,4,117783,2002-09-12
RKB,"[[7, 4], [8, 1]]",8,7,117783,2002-09-12
YEP,"[[10, 87], [11, 49], [12, 9], [5, 20], [6, 135], [7, 299], [8, 184], [9, 47]]",12,5,117783,2002-09-12
WHB,"[[11, 2], [12, 2], [13, 3], [14, 9], [15, 8], [5, 3], [6, 16], [7, 12]]",15,5,117783,2002-09-12
BLC,"[[3, 1], [4, 15], [5, 1], [7, 2], [8, 1]]",8,3,117783,2002-09-12
BLG,"[[5, 4]]",5,5,117783,2002-09-12
CCF,"[[22, 1], [23, 1], [24, 1]]",24,22,117783,2002-09-12
BLB,"[[13, 3], [14, 1], [4, 1], [7, 1], [8, 7], [9, 3]]",14,4,117783,2002-09-12
BRB,"[[13, 1], [14, 4], [15, 8]]",15,13,14801722132554001,2017-09-25
BLB,"[[13, 4], [14, 8], [15, 2], [7, 3], [9, 2]]",15,7,14801722132554001,2017-09-25
CCF,"[[18, 1]]",18,18,14801722132554001,2017-09-25
BLG,"[[1, 2814], [3, 2], [4, 3], [5, 6], [6, 2], [7, 4], [8, 10], [9, 1]]",9,1,14801722132554001,2017-09-25
BLC,"[[1, 11], [2, 548], [3, 23], [10, 2], [11, 2], [3, 2], [4, 14], [6, 3], [7, 20]]",11,1,14801722132554001,2017-09-25
FRD,"[[12, 8], [13, 4], [14, 3], [15, 5], [16, 3], [17, 1], [4, 1], [5, 6]]",17,4,14801722132554001,2017-09-25
RKB,"[[7, 1], [1, 2]]",7,1,14801722132554001,2017-09-25
WHB,"[[10, 2], [11, 6], [12, 5], [13, 6], [14, 15], [15, 10], [16, 1], [5, 3], [6, 5], [2, 4], [3, 32], [4, 16]]",16,2,14801722132554001,2017-09-25
YEP,"[[10, 144], [11, 34], [5, 34], [6, 184], [7, 233], [8, 218], [9, 335], [2, 784], [3, 128]]",11,2,14801722132554001,2017-09-25
CAP,"[[18, 2], [6, 2], [7, 1]]",18,6,14801722132554001,2017-09-25
SHR,"[[11, 4], [14, 1], [15, 2], [16, 1], [17, 1], [18, 1], [19, 1]]",19,11,14801722132554001,2017-09-25
NOP,"[[22, 1], [25, 2], [26, 1], [28, 1], [29, 1]]",29,22,14801722132554001,2017-09-25
LMB,"[[1, 8], [2, 161], [3, 23], [10, 1], [13, 1]]",13,1,14801722132554001,2017-09-25
WTS,"[[10, 1], [12, 1], [14, 1], [15, 1], [16, 6], [17, 4], [18, 4], [20, 1], [9, 1]]",20,9,14801722132554001,2017-09-25
YEB,"[[12, 1], [14, 3], [15, 1]]",15,12,14801722132554001,2017-09-25
LKS,"[[20, 1], [21, 1], [22, 1], [24, 2], [25, 1]]",25,20,14801722132554001,2017-09-25
WAE,"[[6, 1], [10, 1], [11, 21], [12, 19], [13, 5], [14, 1], [15, 2], [16, 5], [17, 9], [18, 6], [19, 6], [20, 4], [21, 2], [22, 1], [23, 1], [24, 1], [25, 1], [26, 1], [7, 1]]",26,6,14801722132554001,2017-09-25
NOP,"[[27, 1], [30, 1], [33, 1], [34, 1]]",34,27,9491316154107096,2013-09-03
WAE,"[[5, 4], [6, 25], [7, 10], [11, 5], [12, 5], [13, 5], [14, 8], [15, 5], [16, 4], [17, 8], [18, 4], [19, 3], [20, 5], [21, 4], [22, 6], [23, 2]]",23,5,9491316154107096,2013-09-03
SHR,"[[13, 1], [15, 1], [16, 1], [17, 1]]",17,13,9491316154107096,2013-09-03
BLC,"[[4, 1], [9, 1]]",9,4,9491316154107096,2013-09-03
FRD,"[[11, 15], [12, 34], [13, 6], [14, 3], [15, 3], [16, 7], [17, 2], [19, 1], [5, 6], [6, 2], [9, 1]]",19,5,9491316154107096,2013-09-03
WHB,"[[10, 1], [11, 1], [12, 36], [13, 17], [14, 3], [15, 6], [16, 5], [5, 1]]",16,5,9491316154107096,2013-09-03
YEP,"[[10, 138], [11, 6], [5, 14], [6, 58], [7, 87], [8, 235], [9, 281]]",11,5,9491316154107096,2013-09-03
WTS,"[[15, 4], [16, 6], [17, 7], [18, 10], [19, 2], [20, 1]]",20,15,9491316154107096,2013-09-03
BLG,"[[7, 1], [8, 1]]",8,7,9491316154107096,2013-09-03
YEB,"[[11, 2], [12, 3], [13, 1]]",13,11,9491316154107096,2013-09-03
CCF,"[[23, 1]]",23,23,9491316154107096,2013-09-03
GLR,"[[17, 1]]",17,17,9491316154107096,2013-09-03
BRB,"[[10, 5], [11, 7], [12, 12], [13, 11], [14, 1]]",14,10,9491316154107096,2013-09-03
BLB,"[[10, 1], [11, 5], [12, 6], [13, 8], [6, 2], [7, 7], [8, 3], [9, 8]]",13,6,9491316154107096,2013-09-03
CAP,"[[10, 5], [11, 1], [22, 1], [27, 1], [5, 2], [6, 1], [7, 3], [8, 6], [9, 7]]",27,5,14801816246517000,2018-09-24
LMB,"[[2, 39], [3, 58], [4, 30], [5, 9], [13, 2], [14, 1], [15, 1], [16, 2], [18, 1], [5, 2], [6, 2], [7, 1], [8, 1]]",18,2,14801816246517000,2018-09-24
SHR,"[[10, 1], [15, 2], [16, 4], [17, 2], [18, 1]]",18,10,14801816246517000,2018-09-24
NOP,"[[17, 1], [22, 1], [23, 1], [26, 3], [27, 1], [28, 1], [31, 1], [11, 1]]",31,11,14801816246517000,2018-09-24
BIB,"[[7, 7], [8, 3]]",8,7,14801816246517000,2018-09-24
BLC,"[[2, 3], [11, 1], [3, 1], [4, 23], [5, 1], [6, 1], [7, 10], [8, 2], [9, 1]]",11,2,14801816246517000,2018-09-24
WHB,"[[11, 3], [12, 1], [13, 35], [14, 23], [15, 9], [16, 3], [7, 23], [8, 4]]",16,7,14801816246517000,2018-09-24
YEP,"[[10, 86], [11, 27], [5, 69], [6, 221], [7, 106], [8, 73], [9, 141], [2, 394], [3, 75]]",11,2,14801816246517000,2018-09-24
RKB,"[[2, 1]]",2,2,14801816246517000,2018-09-24
FRD,"[[10, 1], [14, 9], [15, 9], [16, 2], [17, 1], [18, 3], [20, 1], [5, 10], [6, 80], [7, 44]]",20,5,14801816246517000,2018-09-24
BLG,"[[1, 1860], [2, 186], [3, 2], [4, 4], [5, 5], [6, 3], [7, 2], [8, 7], [9, 2]]",9,1,14801816246517000,2018-09-24
CCF,"[[20, 1]]",20,20,14801816246517000,2018-09-24
BLB,"[[10, 1], [12, 1], [13, 2], [14, 3], [7, 2]]",14,7,14801816246517000,2018-09-24
BRB,"[[12, 1], [13, 2], [14, 3], [15, 10], [16, 4]]",16,12,14801816246517000,2018-09-24
WAE,"[[13, 1], [14, 12], [15, 54], [16, 23], [17, 12], [18, 6], [19, 5], [20, 9], [21, 7], [22, 3], [24, 1], [25, 1], [26, 2], [27, 1], [8, 1], [9, 3]]",27,8,14801816246517000,2018-09-24
LKS,"[[14, 1], [16, 1], [17, 3], [19, 1], [24, 3], [25, 4], [26, 1], [27, 1], [28, 2], [29, 2], [30, 1], [31, 1], [32, 1], [33, 2]]",33,14,14801816246517000,2018-09-24
YEB,"[[10, 2], [11, 1], [13, 3], [15, 1]]",15,10,14801816246517000,2018-09-24
WTS,"[[10, 2], [12, 1], [13, 2], [14, 1], [15, 1], [16, 4], [17, 11], [18, 6], [19, 1], [20, 1], [5, 1], [6, 2], [9, 3]]",20,5,14801816246517000,2018-09-24
GLR,"[[14, 1]]",14,14,14801816246517000,2018-09-24
GSF,"[[4, 1]]",4,4,14801816246517000,2018-09-24
BIB,"[[27, 1]]",27,27,117800,2003-05-27
BLC,"[[1, 8], [2, 95], [12, 1], [4, 2], [7, 1]]",12,1,117800,2003-05-27
YEP,"[[10, 152], [11, 80], [12, 19], [5, 1], [6, 41], [7, 159], [8, 81], [9, 269], [1, 1], [2, 836], [3, 500]]",12,1,117800,2003-05-27
WHB,"[[10, 3], [11, 5], [12, 1], [13, 4], [14, 7], [15, 9], [16, 1], [17, 1], [5, 17], [6, 199], [7, 35], [2, 29], [3, 79], [4, 179], [5, 16]]",17,2,117800,2003-05-27
FRD,"[[10, 1], [12, 9], [13, 55], [14, 55], [15, 13], [16, 2], [19, 3], [21, 2], [22, 1], [23, 1], [24, 2], [25, 1], [4, 9], [5, 92], [6, 7]]",25,4,117800,2003-05-27
RKB,"[[5, 1], [6, 3], [7, 10], [8, 2], [9, 1], [1, 1]]",9,1,117800,2003-05-27
CAP,"[[11, 1], [17, 2], [18, 3], [19, 5], [20, 1], [21, 2], [24, 1], [25, 3], [26, 4], [27, 7], [28, 3], [29, 4], [30, 5], [31, 2], [32, 2], [34, 1], [35, 2], [5, 1], [6, 1], [7, 1]]",35,5,117800,2003-05-27
LMB,"[[1, 3], [2, 61], [3, 36], [11, 2], [12, 2], [13, 1], [6, 2]]",13,1,117800,2003-05-27
SHR,"[[10, 3], [11, 6], [12, 5], [13, 3], [14, 5], [15, 6], [16, 15], [17, 11], [18, 11], [19, 9], [20, 7], [21, 4], [9, 3]]",21,9,117800,2003-05-27
NOP,"[[17, 1], [20, 3], [21, 3], [22, 4], [23, 3], [26, 1], [27, 1], [36, 1]]",36,17,117800,2003-05-27
BLB,"[[10, 5], [11, 7], [12, 12], [13, 7], [14, 7], [15, 2], [4, 1], [5, 1], [6, 1], [8, 1], [9, 1]]",15,4,117800,2003-05-27
BRB,"[[15, 1]]",15,15,117800,2003-05-27
BLG,"[[0, 17], [1, 8576], [2, 67], [2, 2], [4, 4], [5, 16], [6, 22], [7, 25], [8, 51], [9, 3]]",9,1,117800,2003-05-27
CCF,"[[13, 1], [24, 1], [25, 1], [26, 2]]",26,13,117800,2003-05-27
QBS,"[[11, 1], [17, 1], [19, 1], [9, 1]]",19,9,117800,2003-05-27
HSF,"[[7, 3], [1, 133], [2, 48]]",7,1,117800,2003-05-27
WAE,"[[3, 2], [4, 2], [5, 18], [6, 17], [7, 2], [10, 1], [11, 31], [12, 45], [13, 24], [14, 57], [15, 68], [16, 35], [17, 27], [18, 21], [19, 8], [20, 10], [21, 5], [22, 3], [23, 2], [24, 2], [25, 1], [27, 2], [6, 1], [7, 16], [8, 6]]",27,3,117800,2003-05-27
PMK,"[[5, 2]]",5,5,117800,2003-05-27
YEB,"[[10, 1], [11, 2], [12, 2], [13, 4], [14, 5], [15, 1], [9, 2]]",15,9,117800,2003-05-27
WTS,"[[10, 1], [11, 2], [12, 2], [14, 3], [15, 6], [16, 20], [17, 38], [18, 46], [19, 19], [20, 9], [21, 5], [8, 1]]",21,8,117800,2003-05-27
GLR,"[[10, 1], [11, 2], [12, 2], [14, 1], [15, 2], [16, 10], [17, 7], [18, 3], [19, 1], [9, 6]]",19,9,117800,2003-05-27
BLC,"[[3, 1], [7, 3]]",7,3,2690926432389000,2009-09-16
QBS,"[[11, 1]]",11,11,2690926432389000,2009-09-16
FRD,"[[10, 28], [12, 23], [13, 7], [14, 20], [15, 46], [16, 21], [17, 7], [3, 6], [4, 23], [5, 81], [6, 2], [7, 1], [8, 88], [9, 354]]",17,3,2690926432389000,2009-09-16
YEP,"[[10, 204], [11, 17], [12, 8], [5, 2], [6, 44], [7, 192], [8, 223], [9, 524]]",12,5,2690926432389000,2009-09-16
WHB,"[[5, 8], [6, 1], [10, 63], [11, 4], [12, 18], [13, 27], [14, 31], [15, 1], [4, 1], [9, 17]]",15,4,2690926432389000,2009-09-16
NOP,"[[16, 1], [18, 1], [21, 1], [22, 1], [24, 1], [25, 2], [29, 1], [30, 1]]",30,16,2690926432389000,2009-09-16
WAE,"[[3, 1], [4, 3], [5, 30], [6, 16], [7, 4], [10, 16], [11, 36], [12, 4], [13, 3], [14, 14], [15, 14], [16, 7], [17, 4], [18, 8], [19, 5], [20, 8], [21, 7], [22, 2], [9, 2]]",22,3,2690926432389000,2009-09-16
SHR,"[[10, 2], [12, 3], [13, 4], [14, 4], [15, 11], [19, 1], [20, 1], [8, 3], [9, 7]]",20,8,2690926432389000,2009-09-16
BLB,"[[10, 1], [13, 5], [14, 5], [6, 1], [8, 1], [9, 1]]",14,6,2690926432389000,2009-09-16
WTS,"[[10, 7], [11, 3], [12, 5], [13, 4], [14, 2], [15, 4], [16, 13], [17, 19], [18, 12], [19, 6], [8, 3], [9, 1]]",19,8,2690926432389000,2009-09-16
BLG,"[[7, 1]]",7,7,2690926432389000,2009-09-16
CCF,"[[11, 1], [19, 1], [21, 1], [22, 1], [30, 1]]",30,11,2690926432389000,2009-09-16
GLR,"[[10, 1], [11, 1], [12, 1], [13, 3], [14, 1], [17, 1], [6, 1], [9, 1]]",17,6,2690926432389000,2009-09-16
