lake_id,lake_name,lake_county,nearest_town,lake_area,littoral_area,lake_depth,mean_depth,water_access_sites,lake_longitude,lake_latitude
31085700,Cut Foot Sioux,Itasca,Squaw Lake,2771.06,1324.0,78.0,24.0,"['was01920', 'was02726', 'was01921', 'was01923', 'was01973']",-94.076053,47.50233
31042900,Cutaway,Itasca,Alder,306.63,98.0,55.0,0.0,[],-93.456473,47.495851
31080000,David,Itasca,Bigfork,78.47,16.0,30.0,15.0,[],-93.832716,47.733284
31044500,Day,Itasca,Marcell,41.19,18.0,40.0,0.0,[],-93.560998,47.472513
31063700,Day,Itasca,Marcell,49.34,13.0,57.0,0.0,['was02890'],-93.644787,47.482202
31062200,Dead Horse,Itasca,Marcell,105.28,54.0,30.0,0.0,['was02719'],-93.674853,47.532946
31093400,Decker,Itasca,Rosy,324.64,327.37,12.0,0.0,['was02723'],-94.40269,47.641818
31033400,Deer,Itasca,Effie,1854.59,1332.0,50.0,0.0,['was02717'],-93.379459,47.837746
31071900,Deer,Itasca,Deer River,4093.5,920.0,121.0,42.1,['was01931'],-93.663764,47.380818
31055100,Dinner Pail,Itasca,Hill City,47.27,21.0,30.0,0.0,['was01926'],-93.599037,47.041932
31034300,Dirty Mike,Itasca,Bovey,0.0,0.0,0.0,0.0,[],-93.449175,47.349034
31092100,Dixon,Itasca,Squaw Lake,622.42,478.0,29.0,0.0,['was02721'],-94.289396,47.603359
31053600,Doan,Itasca,Suomi,97.56,18.0,40.0,0.0,[],-93.5759,47.424873
31064900,Dock,Itasca,Marcell,30.44,24.0,40.0,0.0,['was02848'],-93.592682,47.543561
31064300,Doctor,Itasca,Marcell,0.0,0.0,0.0,0.0,[],-93.65186,47.467058
31002400,Dode,Itasca,Bengal,87.97,74.0,25.0,0.0,[],-93.104136,47.243302
31048200,Doe,Itasca,Marcell,0.0,0.0,0.0,0.0,[],-93.507984,47.576004
31013900,Dollar,Itasca,Nashwauk,53.22,50.0,20.0,0.0,[],-93.24664,47.487479
31088200,Dora,Itasca,Wirt,423.11,422.4,18.0,0.0,['was01925'],-94.046029,47.741883
31086900,Dry Creek,Itasca,Inger,0.0,0.0,0.0,0.0,[],-94.091905,47.530468
31031400,Duck,Itasca,Effie,12.84,0.0,45.0,0.0,['was02710'],-93.411865,47.794129
31061800,Duck,Itasca,Marcell,29.06,29.06,15.0,5.0,[],-93.619475,47.53384
31090400,Dunbar,Itasca,Squaw Lake,267.72,162.0,30.0,0.0,['was02722'],-94.238652,47.641556
31022100,Dunning,Itasca,Silverwood,0.0,0.0,0.0,0.0,[],-93.341475,47.340852
31045400,Eagle,Itasca,Marcell,285.32,120.0,44.0,0.0,['was01808'],-93.476819,47.60894
31046000,East,Itasca,Marcell,191.69,61.0,65.0,0.0,[],-93.554928,47.622768
31079800,East,Itasca,Spring Lake (Itasca),110.7,47.0,30.0,12.0,[],-93.853089,47.676317
31061600,East Smith,Itasca,Alder,151.78,68.0,38.0,0.0,[],-93.610837,47.540477
31069400,Edmund,Itasca,Marcell,0.0,0.0,0.0,0.0,[],-93.646852,47.676694
31088600,Eel,Itasca,Bergville,0.0,0.0,0.0,0.0,[],-94.136891,47.805804
31081700,Egg,Itasca,Inger,0.0,0.0,0.0,0.0,[],-93.960943,47.482181
31032800,Elbow,Itasca,Craigville,0.0,0.0,0.0,0.0,['was02946'],-93.393956,47.871587
31077400,Elbow,Itasca,Talmoon,0.0,0.0,0.0,0.0,[],-93.762686,47.65319
31049000,Elizabeth,Itasca,Marcell,192.82,89.0,42.0,0.0,[],-93.508439,47.554892
31051200,Erickson,Itasca,Bigfork,28.96,0.0,70.0,0.0,[],-93.506905,47.684452
31031100,Erskine,Itasca,Effie,39.76,16.0,56.0,0.0,['was01798'],-93.382084,47.801421
31090200,Farley,Itasca,Squaw Lake,0.0,0.0,0.0,0.0,[],-94.208303,47.561415
31060900,Fawn,Itasca,Suomi,190.32,78.0,37.0,0.0,[],-93.690151,47.416495
31049700,Fifth Chain,Itasca,Marcell,0.0,0.0,0.0,0.0,['was01807'],-93.53876,47.551416
31081800,First River,Itasca,Inger,0.0,0.0,0.0,0.0,['was01919'],0.0,0.0
31091800,Fiske,Itasca,Bergville,0.0,0.0,0.0,0.0,[],-94.168376,47.776225
31018300,Five Island,Itasca,Effie,214.32,111.0,33.0,12.0,['was01802'],-93.295136,47.840398
31037400,Forest,Itasca,Grand Rapids,37.31,15.4,31.0,0.0,['was01927'],-93.548323,47.238715
31066300,Forest,Itasca,Marcell,0.0,0.0,0.0,0.0,[],-93.664231,47.591349
31058900,Forjer,Itasca,Suomi,0.0,0.0,0.0,0.0,[],-93.657706,47.454565
31056000,Forsythe,Itasca,Cohasset,66.4,0.0,17.0,0.0,[],-93.60086,47.266496
31081400,Four Towns,Itasca,Spring Lake (Itasca),0.0,0.0,0.0,0.0,[],-93.896075,47.668802
31023600,Fourth Sucker,Itasca,Marble,0.0,0.0,0.0,0.0,[],-93.341746,47.426949
31046300,Fox,Itasca,Marcell,262.49,193.0,75.0,0.0,[],-93.543253,47.602769
31051300,Gale,Itasca,Bigfork,85.87,37.0,50.0,0.0,[],-93.495379,47.672343
31066200,Ghost,Itasca,Marcell,0.0,0.0,0.0,0.0,[],-93.585244,47.593874
31088900,Glove,Itasca,Dora Lake,17.56,17.56,12.0,0.0,[],-94.101075,47.790639
31072700,Grass,Itasca,Marcell,119.55,98.0,54.0,0.0,[],-93.707406,47.639534
31062400,Grave,Itasca,Marcell,524.65,304.0,39.0,0.0,['was03031'],-93.67236,47.504725
31086300,Greeley,Itasca,Squaw Lake,23.1,16.8,43.0,0.0,['was02725'],-94.10407,47.559394
31060700,Green,Itasca,Suomi,0.0,0.0,0.0,0.0,[],-93.657235,47.423068
31056900,Guile,Itasca,Cohasset,87.6,56.0,60.0,0.0,['was02123'],-93.678653,47.241043
31078200,Gunderson,Itasca,Talmoon,183.38,46.8,41.0,17.6,['was01095'],-93.77931,47.709248
31045200,Gunn,Itasca,Alder,110.78,0.0,75.0,0.0,[],-93.540126,47.541621
31048000,Gunn,Itasca,Marcell,382.36,142.0,55.0,17.0,[],-93.535147,47.57687
31026700,Gunny Sack,Itasca,Bigfork,85.82,85.82,13.0,0.0,['was02711'],-93.392056,47.606327
31036100,Hale,Itasca,Blackberry,125.33,114.0,59.0,0.0,[],-93.465278,47.144451
