Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
11027500,Sand,Cass,Longville,"[-94.339754, 46.908846]",40.67,40.67,8.0,0.0,['was00865']
11027900,Sand,Cass,Hackensack,"[-94.33892, 46.901549]",149.17,53.0,54.0,0.0,[]
11021100,Ruth,Cass,East Gull Lake,"[-94.337005, 46.42493]",93.91,47.0,42.0,0.0,[]
11032600,Shafer,Cass,East Gull Lake,"[-94.426955, 46.43601]",0.0,0.0,0.0,0.0,['was00106']
11016600,Shurd,Cass,Longville,"[-94.210463, 46.957208]",49.19,30.0,67.0,0.0,[]
18040400,Sibley,Crow Wing,Pequot Lakes,"[-94.32439, 46.592749]",444.24,255.0,40.0,0.0,['was00355']
11020200,Silver,Cass,Longville,"[-94.289069, 47.006947]",121.25,69.0,20.0,0.0,['was00864']
11014600,Six Mile,Cass,Bena,"[-94.14572, 47.311638]",1323.03,606.0,68.0,0.0,['was02342']
11002700,Skunk,Cass,Days High Landing,"[-93.805978, 47.193925]",0.0,0.0,0.0,0.0,[]
11045600,Sleepy Island,Cass,Backus,"[-94.588469, 46.834478]",15.3,3.2,23.0,0.0,[]
11024500,Smiley,Cass,Pontoria,"[-94.363438, 46.846589]",0.0,0.0,0.0,0.0,[]
18022000,Smokey Hollow,Crow Wing,Outing,"[-93.944336, 46.803547]",125.48,52.0,25.0,0.0,['was00860']
11005100,Snake,Cass,Outing,"[-93.98302, 46.84598]",29.46,9.0,32.0,0.0,[]
11045000,South Haynes,Cass,Oshawa (Cass),"[-94.638273, 46.87007]",0.0,0.0,0.0,0.0,[]
11029700,South Stocking,Cass,Longville,"[-94.397082, 46.992907]",45.82,23.5,44.0,12.0,[]
11050000,Spider,Cass,Pine River,"[-94.664534, 46.669443]",144.91,75.0,17.0,0.0,['was00622']
11051200,Spot,Cass,Oshawa (Cass),"[-94.702774, 46.727797]",0.0,0.0,0.0,0.0,[]
11002200,Spring,Cass,Remer,"[-93.88031, 47.122571]",89.84,32.0,46.0,0.0,[]
11026600,Squeedunk,Cass,Hackensack,"[-94.33389, 46.938018]",16.88,13.0,35.0,9.0,[]
11050400,Steamboat,Cass,Cass Lake,"[-94.660801, 47.264544]",1755.68,532.0,93.0,0.0,['was00390']
11011600,Stevens,Cass,Longville,"[-94.077544, 46.921365]",100.1,67.0,63.0,0.0,['was02274']
11037100,Stony,Cass,Hackensack,"[-94.489302, 46.966963]",563.21,178.5,50.0,0.0,['was00396']
11040900,Strawberry,Cass,Cass Lake,"[-94.537868, 47.375366]",0.0,0.0,0.0,0.0,[]
11002600,Sugar,Cass,Elevenmile Corner,"[-93.838381, 47.158084]",702.35,325.0,44.0,0.0,['was00626']
11008500,Sullivan,Cass,Tobique,"[-93.98225, 47.13416]",42.07,14.0,50.0,0.0,[]
11037500,Surprise,Cass,Hackensack,"[-94.438683, 46.959021]",0.0,0.0,0.0,0.0,[]
