county,lake_id,other_info
Anoka,02000500,Centerville George Watch  
Anoka,02000500,Lino Lakes George Watch    
Anoka,02004500,Circle Pines Golden   
Anoka,02006200,East Bethel Goose    
Anoka,02012700,Nowthen Goose Deer    
Anoka,02009200,Oak Grove Grass    
Anoka,02011300,Ramsey Grass Sunfish   
Anoka,02005300,Ham Lake Ham   
Anoka,02008100,Columbia
Anoka,02009600,Oak Grove Hickey    
Anoka,02000200,Linwood Twp Higgins Higgans    
Anoka,02000200,Columbus Higgins Higgans    
Anoka,02001600,Columbus Howard    
Anoka,02002200,Linwood Twp Island    
Anoka,02011000,Ramsey Itasca    
Anoka,02011100,Ramsey Jeglens Marsh   
Anoka,02007200,Blaine Laddie  
Anoka,02007200,Spring Lake Park Laddie  
Anoka,02002600,Linwood Twp Linwood   
Anoka,02003200,Linwood Twp Little Coon    
Anoka,02003200,Columbus Little Coon    
Anoka,02007700,Fridley Locke Unnamed    
Anoka,02005500,East Bethel Lone Pine    
Anoka,30000200,Linwood Twp Long    
Anoka,02000700,Lino Lakes Marshan    
Anoka,02003400,Linwood Twp Martin    
Anoka,02013800,Nowthen McCann Unnamed    
Anoka,02008300,Coon Rapids McKay  
Anoka,02006700,East Bethel Minard   
Anoka,02010600,Oak Grove Morris Norris    
Anoka,02010600,Nowthen Morris Norris    
Anoka,02006000,East Bethel Mud    
Anoka,02009700,Oak Grove Mud    
Anoka,02010500,Nowthen Mud    
Anoka,02005700,East Bethel Neds    
Anoka,02005200,Ham Lake Netta   
Anoka,02000300,Lino Lakes Otter   
Anoka,02000400,Lino Lakes Peltier    
Anoka,02000400,Centerville Peltier  
Anoka,02013000,Nowthen Pickerel Unnamed    
Anoka,02012800,Nowthen Pinnaker Mud    
Anoka,02000900,Lino Lakes Reshanau   
Anoka,02000800,Lino Lakes Rice    
Anoka,02004300,East Bethel Rice    
Anoka,02004300,Linwood Twp Rice    
Anoka,02010400,Oak Grove Rogers   
Anoka,02010400,Nowthen Rogers   
Anoka,02010400,Ramsey Rogers   
Anoka,02001500,Columbus Rondeau Randeau    
Anoka,02001500,Lino Lakes Rondeau Randeau    
Anoka,02008900,Andover Round    
Anoka,02010200,Bethel Sandshore  
Anoka,02008000,Columbia
Anoka,02001100,Lino Lakes Sherman    
Anoka,62008300,Columbia
Anoka,02002500,Linwood Twp Skunk    
Anoka,02073800,Saint Francis Smith  
Anoka,02004800,Ham Lake South Coon    
Anoka,02007100,Fridley Spring   
Anoka,02007100,Spring Lake Park Spring  
Anoka,02009800,Oak Grove Swan    
Anoka,02002100,Linwood Twp Tamarack    
Anoka,71000200,Saint Francis Twin  
Anoka,30000900,Linwood Twp Typo   
Anoka,02000100,Lino Lakes Unnamed    
Anoka,02002400,Linwood Twp Unnamed    
Anoka,02003000,Linwood Twp Unnamed    
Anoka,02003000,Columbus Unnamed    
Anoka,02003100,Columbus Unnamed    
Anoka,02003100,Linwood Twp Unnamed    
Anoka,02004100,Lino Lakes Unnamed   
Anoka,02004100,Circle Pines unnamed    
Anoka,02004400,Blaine unnamed  
Anoka,02004900,Ham Lake Unnamed    
Anoka,02005100,Ham Lake Unnamed    
Anoka,02005600,East Bethel Unnamed    
Anoka,02006400,East Bethel unnamed    
Anoka,02006600,East Bethel Unnamed    
Anoka,02006800,East Bethel Unnamed    
Anoka,02006900,East Bethel Unnamed    
Anoka,02007300,Blaine unnamed  
Anoka,02007300,Coon Rapids unnamed  
Anoka,02007400,Andover Unnamed   
Anoka,02007400,Ham Lake Unnamed    
Anoka,02007800,Fridley Unnamed Farr    
Anoka,02007900,Columbia
Anoka,02008600,Andover Unnamed   
Anoka,02008700,Andover Unnamed   
Anoka,02008800,Andover Unnamed   
Anoka,02009400,Oak Grove Unnamed    
Anoka,02009500,Oak Grove Unnamed    
Anoka,02009900,Oak Grove Unnamed    
Anoka,02010100,Saint Francis unnamed  
Anoka,02010300,Saint Francis unnamed  
Anoka,02010700,Anoka Unnamed  
Anoka,02010800,Anoka Unnamed  
Anoka,02011200,Ramsey Unnamed   
Anoka,02011600,Ramsey Unnamed    
Anoka,02011700,Ramsey Unnamed    
Anoka,02011800,Ramsey Unnamed    
Anoka,02011900,Ramsey unnamed  
Anoka,02013400,Nowthen Unnamed Unnamed    
Anoka,02013900,Oak Grove Unnamed    
Anoka,02014100,Saint Francis unnamed  
Anoka,02014200,Saint Francis unnamed  
Anoka,02014300,Saint Francis unnamed  
Anoka,02022500,Oak Grove Unnamed    
Anoka,02027600,Oak Grove Unnamed    
Anoka,02028500,Oak Grove Unnamed    
Anoka,02029200,Oak Grove Unnamed    
Anoka,02029300,Oak Grove Unnamed    
Anoka,02034600,Oak Grove Unnamed    
Anoka,02034800,Oak Grove Unnamed    
Anoka,02035200,Oak Grove Unnamed    
Anoka,02035600,Oak Grove Unnamed    
Anoka,02035700,Oak Grove Unnamed    
Anoka,02036200,Oak Grove Unnamed    
Anoka,02036700,Oak Grove Unnamed    
Anoka,02036900,Oak Grove Unnamed    
Anoka,02037100,Oak Grove Unnamed    
Anoka,02037500,Oak Grove Unnamed    
Anoka,02037600,Oak Grove Unnamed    
Anoka,02038700,Oak Grove Unnamed    
Anoka,02052000,Columbus Unnamed    
Anoka,02068400,Fridley Unnamed    
Anoka,02068600,Columbia
Anoka,02068700,Columbia
Anoka,02068800,Fridley Unnamed    
Anoka,02074900,Oak Grove Unnamed    
Anoka,02011401,Ramsey Unnamed (north)  
Anoka,02011402,Ramsey Unnamed (south)    
Anoka,02008500,Andover Ward   
Anoka,02001000,Lino Lakes Wards    
Anoka,02007502,Fridley West Moore   
Anoka,62004300,Lino Lakes Wilkinson    
Becker,03036600,Detroit Lakes Abbey      
Becker,03003900,Abners Unnamed    
Becker,03025800,Acorn    
Becker,03026600,Frazee Albertson     
Becker,03043200,Anderson    
Becker,14000200,Anderson    
Becker,14000300,Anderson    
Becker,03056700,Apple    
Becker,03049600,Arrow    
Becker,03010400,Aspinwall    
Becker,03052100,Audubon Audubon      
Becker,03066000,Axberg    
Becker,03033600,Bad Boy Unnamed    
Becker,03008500,Bad Medicine    
Becker,03047800,Ogema Baker      
Becker,03065200,Balke    
Becker,03017800,Ballard    
Becker,03029200,Balsam    
Becker,03057000,Banana    
Becker,03008800,Bass    
Becker,03012700,Bass    
Becker,03033200,Bass    
Becker,03048000,Bass    
Becker,03009200,Basswood    
Becker,03054200,Bay    
Becker,03032900,Becker    
Becker,03059100,Beeber    
Becker,03039500,Detroit Lakes Beer    
Becker,03058500,Bergerson    
Becker,03063800,Beseau Bejiou    
Becker,03009600,Big Basswood    
Becker,03057600,Big Cormorant    
Becker,03024600,Big Rat    
Becker,03025000,Big Rock    
Becker,03010300,Big Rush    
Becker,03030400,Big Sugar Bush    
Becker,03035200,Birch    
Becker,03056300,Bisson    
Becker,03033800,Black Earth    
Becker,03031900,Blackberry    
Becker,03019700,Blackbird    
Becker,03000700,Blueberry George Watch    
Becker,03034100,Blueberry    
Becker,03051900,Bluebird    
Becker,03051800,Boardson    
Becker,03055100,Boe    
Becker,03001200,Bog Rice    
Becker,15000400,Bogus    
Becker,03003500,Boogun Unnamed    
Becker,03003000,Boot Unnamed    
Becker,03024800,Boot    
Becker,03019800,Booth    
Becker,03006800,Bottomless    
Becker,03032600,Bow-Dodge Unnamed    
Becker,03057900,Boyer    
Becker,03006100,Branch    
Becker,03040000,Detroit Lakes Brandy      
Becker,03064300,Brannigan    
Becker,03012100,Brenum Unnamed    
Becker,03025900,Brink    
Becker,29031000,Brush    
Becker,03047300,Buck    
Becker,03035000,Buffalo    
Becker,03031200,Bullhead    
Becker,03048100,Bullhead    
Becker,03021200,Bush    
Becker,03034600,Cabin Unnamed    
Becker,03015100,Camp Seven    
Becker,03041900,Campbell    
Becker,03051600,Canary    
Becker,03020900,Carman    
Becker,03043900,Carrott    
Becker,29031200,Cedar    
Becker,03034200,Cherry    
Becker,03026000,Chilton    
Becker,03019600,Chippewa    
Becker,03034000,Choke Cherry    
Becker,03056800,Clarence    
Becker,03010500,Collet    
Becker,03004800,Coon Twin    
Becker,03037300,Detroit Lakes Cottage      
Becker,03028600,Cotton    
Becker,03032500,Cranberry    
Becker,03066200,Cuba    
Becker,03057100,Cucumber    
Becker,03036300,Detroit Lakes Curfman     
Becker,03057700,Dahlberg Unnamed    
Becker,03047400,Dart    
Becker,03016000,Dead    
Becker,03014800,Deephole Unnamed    
Becker,03038100,Detroit Lakes Detroit      
Becker,03004400,Dinner Unnamed    
Becker,03049400,Droff    
Becker,03044800,Du Forte    
Becker,03012400,Dumbbell    
Becker,03031800,Eagen    
Becker,03026500,Eagle    
Becker,03064800,East LaBelle    
Becker,03036700,Detroit Lakes East Twin      
Becker,03006500,Elbow    
Becker,03015900,Elbow    
Becker,03025100,Elbow    
Becker,03048400,Ellison    
Becker,03063600,Engebretson    
Becker,03021900,Equay Squaw    
Becker,03050300,Eunice    
Becker,03020200,Evans    
Becker,03042900,Fairbank's Fairbanks    
Becker,03058600,Fig    
Becker,56024700,Fischer Carroll    
Becker,03031400,Fish    
Becker,03041700,Fish    
Becker,03044600,Fish    
Becker,03033100,Fish Hook    
Becker,03026900,Five    
Becker,03024200,Flat    
Becker,03038700,Floyd    
Becker,03050200,Fog    
Becker,03002800,Fools Itasca    
Becker,03062400,Forget-Me-Not    
Becker,03028100,Fox    
Becker,03035800,Fox    
Becker,03022500,Gable    
Becker,03041400,Gandrud Grandrud    
Becker,03010000,Gardner    
Becker,03045400,Gay Bow    
Becker,03026100,Gebo    
Becker,03051700,Gilbertson    
Becker,03003100,Gilfillan Grass    
Becker,03036400,Detroit Lakes Glawe      
Becker,03033500,Googun    
Becker,03011800,Goose    
Becker,03034300,Gooseberry    
Becker,03052800,Gottenberg    
Becker,03063500,Gourd    
Becker,56036800,Graham    
Becker,03013400,Green Water    
Becker,03041500,Grimsbard Grimsgard    
Becker,03006600,Gyles    
Becker,03111700,Hamden Unnamed; old
Becker,03017700,Hanson Unnamed    
Becker,03042200,Harding    
Becker,03019500,Height of Land    
Becker,03003200,Hernando DeSoto Unnamed    
Becker,03054300,Hofendahl    
Becker,03049100,Holstad    
Becker,03051000,Homestead    
Becker,03063300,Horan Stake    
Becker,03014200,Horseshoe Unnamed    
Becker,03022900,Horseshoe    
Becker,03045500,Hospital    
Becker,03040600,Houg    
Becker,03028300,Howe    
Becker,03024000,Hubbel Pond    
Becker,03016600,Hungry    
Becker,03002900,"Hungry Man Jeglens Marsh,"
Becker,03049300,Hunt    
Becker,03015600,Ice Cracking    
Becker,03058200,Ida    
Becker,03006200,Island Unnamed    
Becker,03015300,Island    
Becker,03035100,Island    
Becker,03033900,Jack Haw    
Becker,03019900,Johnson    
Becker,03022200,Johnson    
Becker,03046500,Johnson    
Becker,03012300,Jones    
Becker,03013600,Juggler    
Becker,03004200,Kane Unnamed    
Becker,03009500,Kansas    
Becker,03038900,Kennedy    
